"Отметка времени","If you weren't on master; what branch were you on? Please use the full code name of the branch, not short hand. The 'origin/' isn't needed.","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","Was this an observer game?","If this game was NOT an observer, which nation did you play? Please use the tag of the nation in capital letters.","If you did switch to any other nation, who was it? Please use the tag of the nation in capital letters. Note this is only if you legally switched, console commands don't count here.","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","When in real life did you start this game?","Did you crash?","If you did crash...","Were you in single-player or multi-player?","Who won the Spanish Civil War? If one side is close to winning put them down.","When did the Spanish Civil War end?","Who won the Indochinese civil war? If one side is close to winning put them down.","When did the Indochinese civil war end?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","When did the 2nd Weltkrieg start?","Who won the French-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If Russia was socialist, who won the Russo-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If Russia was NOT socialist, who won the Russo-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Did National France land on the mainland?","Did Canada land on Britain?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war? If one side is close to winning put them down.","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war? If one side is close to winning put them down.","Who won the Fourth Balkan War? If one side is close to winning put them down.","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","Did the Netherlands go socialist?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?","If someone intervened in the League War, who was it?"
"2022/05/11 10:43:36 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-11","No","","Single-player","Kingdom of Spain","1938","Indochina","1937","","","","NEE","","1940","Yes, sided with PSA","Mid 1940","Internationale","","Russia","1941","","1941","","No","1940","","","","","1940","1941","1940","Yes, during or after WK2","Yes, was repelled","Yes, successfully","Socialist Republic of Italy","","","","The Pact","","","","","No","Kurdistan;Armenia;Cyrenaica","Princely Federation/Hyderabad","No","Did not happen","Did not happen","Did not happen","1942","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","Republic of East Turkestan","1939","","","Nanjing Clique","1936",""
"2022/05/11 10:43:50 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-11","No","","Single-player","CNT-FAI","1939","Indochina","1939","","","","","CSA","1941","Yes, declared war on CSA","1941 or after","","","","","","","","No","1944","","","1940","Internationale (not France)","Did not join","","Did not join","","No","Yes, was repelled","Socialist Republic of Italy","Argentina","1942","","The Pact","","The Ottoman Empire","","","No","Iraq;Kurdistan;Armenia","Split between starting nations","No","Did not happen","Did not happen","Did not happen","1940","1942","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","Xinjiang Clique","1936","","","Anqing Clique","1936",""
"2022/05/11 10:44:04 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-11","No","","Single-player","Kingdom of Spain","1939","Indochina","1937","","","","","","","Yes, declared war on CSA","Late 1940","","","","","","1942","","No","1940","","","","","1942","","1942","No","Yes, was repelled","Yes, successfully","Split between starting nations","Argentina","1943","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","Yes","Did not happen","Did not happen","1944","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","Pushed back (with or without the Fading Sun)","","","Ma Clique","1938","Anqing Clique","1936",""
"2022/05/11 10:44:17 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-11","No","","Single-player","Kingdom of Spain","1939","Indochina","1937","","","USA","","","1940","Yes, declared war on CSA","1941 or after","Internationale","","Russia","1943","","","","No","1940","","","1941","Commune of France","Did not join","","Did not join","","Yes, was repelled","No","Two Sicilies","Chile","1938","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Armenia;Cyrenaica","Princely Federation/Hyderabad","No","Did not happen","Did not happen","Did not happen","1940","1943","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","Republic of East Turkestan","1940","","","Anqing Clique","1936",""
"2022/05/11 10:44:31 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-11","No","","Single-player","Carlists","1943","Indochina","1937","","","","CSA","","1941","Yes, declared war on CSA","Mid 1940","Reichspakt","","Reichspakt","","1942","1943","","No","1940","","","","","1940","","1940","No","Yes, successfully","Yes, successfully","Split between starting nations","Argentina","1938","","The Pact","","","","","No","Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Did not happen","Did not happen","Did not happen","Did not happen","1939","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","","","Mongolia and Tibet","1939","Nanjing Clique","1936",""
"2022/05/11 10:44:44 AM GMT+4","","Dev","Pelmen","Yes","","","1943","2022-05-11","No","","Single-player","CNT-FAI","1939","Indochina","1938","","","","","","","Yes, declared war on CSA","Late 1940","","","","","","","","No","1940","","","","","1941","","1941","No","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938","","The Pact","","","","","No","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","Yes","Before 1938","1941","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","Conquered only the coastal states","","","Mongolia and Tibet","1941","Nanjing Clique","1936",""
"2022/05/11 10:44:58 AM GMT+4","","Dev","Pelmen","Yes","","","1943","2022-05-11","No","","Single-player","Kingdom of Spain","1938","GEA (with or without Vietnam)","1939","","","","","","","Yes, declared war on CSA","Mid 1940","","","Reichspakt","","","","","No","1940","","","","","1941","","1941","No","Yes, was repelled","Yes, was repelled","Split between starting nations","Chile","1938","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","1938","1943","Did not happen","1940","Did not happen","1940","1942","Did not happen","Yes, someone else started the war","Nobody","Conquered only the coastal states","","","Mongolia and Tibet","1940","Anqing Clique","1937",""
"2022/05/11 10:45:11 AM GMT+4","","Dev","Pelmen","Yes","","","1943","2022-05-11","No","","Single-player","Kingdom of Spain","1938","Indochina","1938","","","USA","","","1939","No","Early 1940","Reichspakt","","","","1941","1942","","No","1940","","","","","1940","","","","No","Yes, successfully","Two Sicilies","","","","Bulgaria","","","","","No","Iraq;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","","","","","Nanjing Clique","1936",""
"2022/05/13 10:49:20 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-13","No","","Single-player","","","","","","","","","CSA","1944","No","Mid 1939","Internationale","","Russia","1940","","","","No","Did not join","","","1941","Internationale (not France)","1939","1940","Did not join","","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","","","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Cyprus;Armenia","Bharatiya Commune","No","Did not happen","Did not happen","Did not happen","Did not happen","1939","1939","Did not happen","Did not happen","No","Nobody","","","","","","Nanjing Clique","1936",""
"2022/05/13 10:49:34 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-13","No","","Single-player","Carlists","1943","Indochina","1938","","","","","TEX","1940","Yes, sided with AUS","Late 1940","","","","","","","","No","1940","","","","","1941","","1941","No","Yes, was repelled","Yes, was repelled","Split between starting nations","Argentina","1939","","The Pact","","","","","No","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","No","1940","1941","Did not happen","Did not happen","1941","1938","Did not happen","Did not happen","Yes, someone else started the war","Nobody","Conquered only the coastal states","Republic of East Turkestan","1939","Ma Clique","1940","Left Kuomintang","1937",""
"2022/05/13 10:49:47 AM GMT+4","","Dev","Pelmen","Yes","","","1943","2022-05-13","No","","Single-player","Kingdom of Spain","1938","Indochina","1937","","","","","","","No","Early 1940","","","Reichspakt","","","1942","","No","1940","","","","","1940","","1940","No","Yes, was repelled","Yes, successfully","Socialist Republic of Italy","","","","The Pact","","","","","No","Cyprus;Cyrenaica","Princely Federation/Hyderabad","Yes","1938","1942","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","Conquered only the coastal states","Republic of East Turkestan","1938","Mongolia and Tibet","1943","Anqing Clique","1937",""
"2022/05/13 10:50:01 AM GMT+4","","Dev","Pelmen","Yes","","","1942","2022-05-13","No","","Single-player","Kingdom of Spain","1939","Indochina","1938","","","","TEX","","1941","Yes, declared war on CSA","Early 1939","","","","","","","","No","1940","","","1941","Commune of France","1939","1940","","","No","Yes, was repelled","Split between starting nations","Chile","1939","","Bulgaria","","","","","No","Kurdistan;Armenia;Cyrenaica","Split between starting nations","No","1939","Did not happen","Did not happen","Did not happen","Did not happen","1938","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Nanjing Clique","1936",""
"2022/05/13 10:50:14 AM GMT+4","","Dev","Pelmen","Yes","","","1943","2022-05-13","No","","Single-player","Kingdom of Spain","1939","Indochina","1938","","USA","","","","1941","Yes, declared war on CSA","Early 1939","","","","","","","","No","1939","","","","","1940","","1940","Yes, before WK2","No","No","Split between starting nations","Argentina","1938","","The Pact","The Ottoman Empire","","","","No","Iraq;Armenia","Dominion of India","Yes","1939","Did not happen","Did not happen","1939","Did not happen","Did not happen","Did not happen","1943","Yes, Russia started the war","Nobody","","","","Ma Clique","1943","Nanjing Clique","1936",""
"2022/05/13 10:50:27 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-13","No","","Single-player","Carlists","1942","","","","","","","","","No","","Reichspakt","","","","1943","","","No","1940","","","","","1941","","1941","No","Yes, successfully","Yes, was repelled","Split between starting nations","Chile","1939","","The Pact","","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Before 1938","1941","Did not happen","1940","1941","Before 1938","1942","Did not happen","Yes, someone else started the war","Nobody","Conquered all of China","Xinjiang Clique","1936","Mongolia and Tibet","1941","Left Kuomintang","1937",""
"2022/05/13 10:50:40 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-13","No","","Single-player","CNT-FAI","1939","","","","","","","PSA","1942","Yes, sided with PSA","Late 1940","","","","","","","","No","1940","","","","","Did not join","","Did not join","","Yes, was repelled","Yes, was repelled","Split between starting nations","Chile","1938","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Iraq;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","1940","Did not happen","Did not happen","Did not happen","Did not happen","1938","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","Kumul Khanate","1937","","","Nanjing Clique","1937",""
"2022/05/13 10:50:55 AM GMT+4","","Dev","Pelmen","Yes","","","1945","2022-05-13","No","","Single-player","Kingdom of Spain","1939","Indochina","1938","","","","","CSA","1942","Yes, declared war on CSA","","Internationale","","Russia","1942","","","","No","Did not join","","","1940","Internationale (not France)","1940","","Did not join","","No","Yes, was repelled","Socialist Republic of Italy","","","","The Pact","","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania","Split between starting nations","No","Did not happen","Did not happen","Did not happen","1939","Did not happen","1939","Did not happen","Did not happen","No","Nobody","","","","Ma Clique","1939","Nanjing Clique","1937",""
"2022/05/13 10:51:08 AM GMT+4","","Dev","Pelmen","Yes","","","1943","2022-05-13","No","","Single-player","Carlists","1943","Indochina","1938","","","","","USA","1939","Yes, sided with USA","Early 1939","Reichspakt","","Reichspakt","","1940","1940","","No","1940","","","","","1939","","1940","No","Yes, successfully","Yes, successfully","Split between starting nations","","","","The Pact","","","","","No","Armenia;Cyrenaica","Split between starting nations","Yes","1939","1940","Did not happen","1940","Did not happen","Before 1938","Did not happen","Did not happen","No","Nobody","Conquered only the coastal states","","","","","Nanjing Clique","1936",""
"2022/05/13 10:51:22 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-13","No","","Single-player","CNT-FAI","1939","Indochina","1938","","","","","","","No","Late 1940","","","","","","","","No","1940","","","","","Did not join","","Did not join","","Yes, was repelled","Yes, was repelled","Split between starting nations","Argentina","1940","","The Pact","","The Ottoman Empire","","","Yes, and OTT won the war","Iraq;Armenia;Cyrenaica","Bharatiya Commune","Yes","1939","1942","Did not happen","1939","Did not happen","Before 1938","Did not happen","Did not happen","No","Nobody","Conquered only the coastal states","Republic of East Turkestan","1938","","","Nanjing Clique","1936",""
"2022/05/13 10:51:35 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-13","No","","Single-player","","","Indochina","1937","","","","","","","No","Mid 1939","Internationale","","Russia","1940","","","","No","1940","","","1941","Internationale (not France)","Did not join","1940","1939","Yes, during or after WK2","No","No","Split between starting nations","","","","The Pact","","","","","No","Iraq;Cyprus;Armenia","Split between starting nations","No","Did not happen","Did not happen","Did not happen","Did not happen","1942","1938","Did not happen","1941","Yes, Russia started the war","Nobody","","Republic of East Turkestan","1940","","","Nanjing Clique","1936",""
"2022/05/13 10:51:48 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-13","No","","Single-player","Kingdom of Spain","1940","","","","","","","","","Yes, declared war on CSA","Early 1939","Reichspakt","","Russia","1940","1942","","","No","Did not join","","","","","1940","1940","1940","Yes, during or after WK2","Yes, successfully","No","Split between starting nations","Argentina","1938","","The Pact","","","","","No","Kurdistan;Armenia;Cyrenaica","Split between starting nations","Yes","Did not happen","Did not happen","Did not happen","Did not happen","1942","Did not happen","Did not happen","Did not happen","Yes, Russia started the war","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1938","","",""
"2022/05/13 10:52:02 AM GMT+4","","Dev","Pelmen","Yes","","","1943","2022-05-13","No","","Single-player","Kingdom of Spain","1939","Indochina","1936","","","","","CSA","1942","No","Late 1940","","","","","","","","No","1940","","","","","1941","","1941","No","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938","","The Pact","","The Ottoman Empire","","","No","Kurdistan;Armenia;Cyrenaica","Split between starting nations","Yes","Did not happen","Did not happen","Did not happen","Did not happen","1941","Before 1938","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1941","Shandong Clique","1936",""
"2022/05/14 11:46:08 AM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-05-14","No","","Single-player","CNT-FAI","1938","Indochina","1937","","CSA","","","","1943","Yes, declared war on CSA","Early 1940","Reichspakt","","","","1944","1942","","No","1940","","","","","Did not join","","Did not join","","No","Yes, successfully","Socialist Republic of Italy","Chile","1938","","The Pact","","The Ottoman Empire","","","No","Kurdistan;Assyria;Armenia","Bharatiya Commune","No","1939","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","","","Mongolia and Tibet","1939","Shandong Clique","1937",""
"2022/05/14 11:46:23 AM GMT+4","","Dev","Pelmen","Yes","","","1943","2022-05-14","No","","Single-player","CNT-FAI","1938","Indochina","1936","","","","TEX","","1943","Yes, declared war on CSA","Early 1940","Internationale","","Russia","1940","","","","No","1940","","","1941","Internationale (not France)","1940","","1940","Yes, before WK2","No","Yes, was repelled","Socialist Republic of Italy","","","","The Pact","","","","","No","Hejaz;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","Did not happen","Did not happen","Did not happen","1942","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1940","Mongolia and Tibet","1942","Nanjing Clique","1936",""
"2022/05/14 11:46:37 AM GMT+4","","Dev","Pelmen","Yes","","","1943","2022-05-14","No","","Single-player","Kingdom of Spain","1939","Indochina","1938","","","","","TEX","1940","Yes, declared war on CSA","Mid 1940","","","Reichspakt","","","1941","","No","1940","","","","","1941","","1941","No","Yes, was repelled","Yes, successfully","Split between starting nations","Argentina","1939","","The Pact","","","","","No","Kurdistan;Cyprus;Armenia;Cyrenaica","Bharatiya Commune","Yes","1939","1942","Did not happen","Did not happen","Did not happen","1938","Did not happen","Did not happen","Yes, someone else started the war","Nobody","Conquered only the coastal states","Republic of East Turkestan","1940","Mongolia and Tibet","1939","Nanjing Clique","1936",""
