"Отметка времени","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","When in real life did you start this game?","Who won the Spanish Civil War?","When did the Spanish Civil War end?","Who won the Indochinese War?","When did the Indochinese civil war end?","Who won the American Civil War?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","When did the 2nd Weltkrieg start?","When did the 2nd Weltkrieg end?","Who won the Franco-German part of the 2nd Weltkrieg?","Who won the Russo-German part of the 2nd Weltkrieg?","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Did National France land on the mainland?","Did Canada land on Britain?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war?","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war?","Who won the Fourth Balkan War? If one side is close to winning put them down.","When did the Fourth Balkan War end?","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert?","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","When did the War in the Desert end?","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","Did the Netherlands go socialist?","Which faction did Greece join?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?"
"2022/09/14 3:18:28 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","CNT-FAI","1937, quarter 2","GEA (with or without Vietnam)","1937, quarter 2","USA","","","","","USA","1942, quarter 1","Yes, sided with USA","Early 1940","1942, quarter 3","Internationale","Russia","1942, quarter 3","","1942, quarter 4","","No","1940, quarter 3","","","","","1940, quarter 3","","1940, quarter 3","No","Yes, was repelled","Yes, successfully","Italian Republic/Federation","Argentina","1939, quarter 1","Did not happen","The Pact","1937, quarter 2","","The Ottoman Empire","","","1943, quarter 4","No","Iraq;Assyria;Armenia;Cyrenaica","Split between starting nations","Yes","Moscow Accord","Did not happen","Did not happen","Did not happen","1940","Did not happen","1941","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936"
"2022/09/14 3:18:42 AM GMT+4","Dev","The Alpha Dog","1943","2022-09-13","CNT-FAI","1938, quarter 1","Nobody","Did not end","CSA","","","","","CSA","1942, quarter 4","Yes, declared war on CSA","Early 1939","1939, quarter 3","Internationale","Socialist Russia","1939, quarter 3","","","","No","1941, quarter 1","","","1942, quarter 1","Internationale (not France)","1939, quarter 2","1939, quarter 4","1939, quarter 2","Yes, during or after WK2","No","","Socialist Republic of Italy","Chile","1938, quarter 2","Did not happen","The Pact","1937, quarter 3","The Cairo Pact","","","","1941, quarter 2","No","Assyria;Armenia;Cyrenaica","Dominion of India","No","Belgrade Pact","1938, quarter 3","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1937","Mongolia and Tibet","1940","Nanjing Clique","Quarter 1, 1937"
"2022/09/14 3:18:54 AM GMT+4","Dev","The Alpha Dog","1937","2022-09-13","CNT-FAI","1937, quarter 2","Nobody","Did not end","Nobody","","","","Nobody","","Did not end","No","","Did not end","Nobody","Nobody","","","","","No","Did not join","","","","","Did not join","","Did not join","","No","No","Split between starting nations","Nobody","Did not end","Did not happen","The Pact","1937, quarter 2","Nobody","","","","Did not end","No","","Split between starting nations","No","Belgrade Pact","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Nobody","Did not end","Left Kuomintang","Quarter 4, 1936"
"2022/09/14 3:19:09 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","CNT-FAI","1937, quarter 4","GEA (with or without Vietnam)","1937, quarter 4","CSA","","","","","CSA","1941, quarter 3","No","Early 1940","1940, quarter 4","Internationale","Russia","1940, quarter 4","","","","No","1940, quarter 2","","","1942, quarter 2","Commune of France","1940, quarter 2","1941, quarter 2","1940, quarter 2","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Chile","1938, quarter 2","Argentina","The Pact","1937, quarter 3","The Ottoman Empire","","","","1942, quarter 3","No","Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Moscow Accord","1938, quarter 3","1943","Did not happen","1940","Did not happen","1938","Did not happen","Did not happen","Started by Russia","Nobody","Could not push into China","Republic of East Turkestan","1938","Mongolia and Tibet","1941","Left Kuomintang","Quarter 1, 1937"
"2022/09/14 3:19:22 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","CNT-FAI","1937, quarter 2","GEA (with or without Vietnam)","1938, quarter 1","TEX","","","","TEX","","1942, quarter 1","Yes, declared war on CSA","Early 1940","1942, quarter 3","Internationale","Russia","1942, quarter 3","","","","No","Did not join","","","","","1940, quarter 4","1942, quarter 4","1941, quarter 3","Yes, during or after WK2","No","Yes, was repelled","Socialist Republic of Italy","Chile","1938, quarter 4","Did not happen","The Pact","1941, quarter 1","The Ottoman Empire","","","","1942, quarter 4","No","Hejaz;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Moscow Accord","Did not happen","Did not happen","Did not happen","Did not happen","1939","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Xinjiang Clique","1937","Nobody","Did not end","Anqing Clique","Quarter 4, 1936"
"2022/09/14 3:19:36 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","Carlists","1938, quarter 1","GEA (with or without Vietnam)","1937, quarter 4","CSA","","","","","CSA","1943, quarter 4","Yes, declared war on CSA","Early 1940","1941, quarter 3","Internationale","Russia","1941, quarter 3","","","","Yes, during or after WK2","1940, quarter 2","1943, quarter 4","CSA","1941, quarter 2","Someone else","1940, quarter 2","","1940, quarter 2","No","No","Yes, was repelled","Socialist Republic of Italy","Chile","1938, quarter 2","Argentina","The Pact","1937, quarter 3","The Cairo Pact","","Nobody","","1939, quarter 2","No","Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Moscow Accord","1938, quarter 3","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Russia","Nobody","","Nobody","Did not end","Nobody","Did not end","Left Kuomintang","Quarter 4, 1936"
"2022/09/14 3:19:48 AM GMT+4","Dev","The Alpha Dog","1943","2022-09-13","CNT-FAI","1937, quarter 3","Indochina","1941, quarter 4","PSA","","","PSA","","","1942, quarter 1","Yes, declared war on CSA","Early 1940","Did not end","Nobody","Nobody","","","","","No","1940, quarter 4","","","","","1940, quarter 2","","","","Yes, was repelled","No","Split between starting nations","Argentina","1938, quarter 4","Did not happen","Bulgaria","1938, quarter 2","Nobody","","","","Did not end","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","Yes","Moscow Accord","1939, quarter 1","1941","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","Could not push into China","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936"
"2022/09/14 3:20:02 AM GMT+4","Dev","The Alpha Dog","1945","2022-09-13","CNT-FAI","1937, quarter 4","Indochina","1940, quarter 2","CSA","","","CSA","","","1944, quarter 2","No","Early 1940","1942, quarter 4","Internationale","Socialist Russia","1942, quarter 4","","","","Yes, during or after WK2","1940, quarter 2","1945, quarter 2","CSA","1943, quarter 4","Commune of France","1940, quarter 3","1942, quarter 4","1940, quarter 3","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938, quarter 2","Did not happen","The Pact","1937, quarter 2","","Nobody","","","Did not end","No","Assyria;Armenia;Cyrenaica","Split between starting nations","No","Reichspakt","1938, quarter 4","Did not happen","Did not happen","Did not happen","Did not happen","1941","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1939","Left Kuomintang","Quarter 1, 1937"
"2022/09/14 3:20:15 AM GMT+4","Dev","The Alpha Dog","1943","2022-09-13","Carlists","1938, quarter 4","Indochina","1940, quarter 2","CSA","","","","","CSA","1941, quarter 4","No","Early 1940","Did not end","Nobody","Nobody","","","","","Yes, during or after WK2","1940, quarter 2","1942, quarter 3","CSA","","","1940, quarter 2","","1940, quarter 2","No","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938, quarter 2","Did not happen","The Pact","1937, quarter 3","","The Ottoman Empire","","","1940, quarter 4","No","Kurdistan;Assyria;Armenia;Cyrenaica","Split between starting nations","No","Reichspakt","1938, quarter 4","1940","Did not happen","1943","Did not happen","Did not happen","1940","Did not happen","No","Nobody","Conquered all but the interior (Sichuan, Yunnan, Shanxi)","Nobody","Did not end","Mongolia and Tibet","1939","Nanjing Clique","Quarter 4, 1936"
"2022/09/14 3:20:29 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","CNT-FAI","1938, quarter 1","GEA (with or without Vietnam)","1936, quarter 4","TEX","","","","","TEX","1943, quarter 2","Yes, declared war on CSA","Mid 1940","1944, quarter 2","Internationale","Russia","1944, quarter 2","","","","No","1940, quarter 2","","","","","1940, quarter 2","","","","Yes, was repelled","No","Split between starting nations","Chile","1939, quarter 2","Did not happen","","1937, quarter 4","","The Ottoman Empire","","","1942, quarter 2","No","Kurdistan;Armenia;Cyrenaica","Puppeted by a foreign power","No","Moscow Accord","1938, quarter 4","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1937","Nobody","Did not end","Left Kuomintang","Quarter 4, 1936"
"2022/09/14 3:20:43 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","CNT-FAI","1937, quarter 4","GEA (with or without Vietnam)","1937, quarter 3","PSA","","","PSA","","","1944, quarter 4","No","Early 1939","1940, quarter 1","Internationale","Russia","1940, quarter 1","","","","No","1939, quarter 2","","","1941, quarter 1","Someone else","1939, quarter 2","1940, quarter 3","1939, quarter 2","Yes, during or after WK2","No","No","Socialist Republic of Italy","Chile","1938, quarter 4","Did not happen","The Pact","1937, quarter 2","The Cairo Pact","","Nobody","","1940, quarter 3","No","Iraq;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","Yes","Moscow Accord","1938, quarter 3","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1940","Did not happen","Started by Transamur","Fengtian alone","","Nobody","Did not end","Mongolia and Tibet","1938","Anqing Clique","Quarter 4, 1936"
"2022/09/14 3:20:58 AM GMT+4","Dev","The Alpha Dog","1945","2022-09-13","CNT-FAI","1937, quarter 4","GEA (with or without Vietnam)","1940, quarter 3","TEX","","","","TEX","","1942, quarter 2","No","Early 1940","1941, quarter 2","Internationale","Russia","1941, quarter 2","","","","No","1940, quarter 2","","","1942, quarter 3","Commune of France","1940, quarter 2","1941, quarter 4","","","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Chile","1939, quarter 1","Did not happen","Bulgaria","1938, quarter 4","The Ottoman Empire","","","","1944, quarter 1","Yes, and OTT won the war","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","Moscow Accord","1939, quarter 2","1941","Did not happen","1941","1942","1942","Did not happen","1941","No","Zhili Qing","Could not push into China","Republic of East Turkestan","1940","Mongolia and Tibet","1941","Left Kuomintang","Quarter 1, 1937"
"2022/09/14 3:21:12 AM GMT+4","Dev","The Alpha Dog","1945","2022-09-13","Kingdom of Spain","1938, quarter 2","GEA (with or without Vietnam)","1938, quarter 4","TEX","","","TEX","","","1940, quarter 4","Yes, declared war on CSA","Early 1940","Did not end","Nobody","Nobody","","","1942, quarter 1","","No","1940, quarter 2","","","","","1940, quarter 2","","1940, quarter 3","No","Yes, was repelled","Yes, successfully","Italian Republic/Federation","Argentina","1938, quarter 4","Did not happen","The Pact","1937, quarter 3","The Cairo Pact","","","","1940, quarter 1","Yes, but OTT still lost the war","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania","Bharatiya Commune","No","Reichspakt","1938, quarter 3","Did not happen","Did not happen","1940","Did not happen","Did not happen","1943","Did not happen","No","Nobody","","Kumul Khanate","1942","Mongolia and Tibet","1940","Left Kuomintang","Quarter 4, 1936"
"2022/09/14 3:21:27 AM GMT+4","Dev","The Alpha Dog","1946","2022-09-13","CNT-FAI","1937, quarter 3","Indochina","1941, quarter 4","USA","USA","","","","","1940, quarter 1","No","Early 1940","1941, quarter 3","Internationale","Russia","1941, quarter 3","","","","No","1940, quarter 2","","","1941, quarter 4","Commune of France","1940, quarter 2","1941, quarter 4","1940, quarter 2","Yes, during or after WK2","No","No","Socialist Republic of Italy","Chile","1939, quarter 1","Did not happen","The Pact","1937, quarter 3","The Cairo Pact","","Nobody","","1940, quarter 4","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Moscow Accord","1938, quarter 3","Did not happen","1943","Did not happen","Did not happen","Did not happen","1941","Did not happen","Started by Russia","Nobody","Pushed back (with or without the Fading Sun)","Republic of East Turkestan","1939","Nobody","Did not end","Left Kuomintang","Quarter 4, 1936"
"2022/09/14 3:21:40 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","Kingdom of Spain","1938, quarter 3","GEA (with or without Vietnam)","1937, quarter 4","CSA","","","","CSA","","1943, quarter 2","Yes, sided with NEE","Late 1939","1941, quarter 3","Internationale","Socialist Russia","1941, quarter 3","","","","Yes, before WK2","Did not join","1944, quarter 1","Someone else","1942, quarter 1","Internationale (not France)","1940, quarter 3","1941, quarter 3","1940, quarter 3","Yes, during or after WK2","No","No","Socialist Republic of Italy","Chile","1939, quarter 1","Argentina","The Pact","1937, quarter 3","","The Ottoman Empire","","","1942, quarter 4","No","Iraq;Armenia","Bharatiya Commune","Yes","Belgrade Pact","1939, quarter 1","Did not happen","Did not happen","1940","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Anqing Clique","Quarter 4, 1936"
